,DistrictA,DistrictB,distance_between,spatial_relation
193,D4,D38,18244.711324567856,western
194,D4,D39,43507.548566381636,western
195,D4,D40,60962.23787712617,western
196,D4,D41,22642.363767784667,southwestern
197,D4,D42,14639.041370713134,western
198,D4,D43,30450.642612600783,western
199,D4,D44,41116.37184315011,western
200,D4,D45,38027.398689288224,western
201,D4,D46,31507.743373955338,western
202,D4,D47,21129.69988543685,northwestern
203,D4,D48,47773.83539483374,northwestern
204,D4,D49,14114.458480094981,northwestern
205,D4,D50,64106.50909270862,northern
206,D4,D51,47445.0573888042,northern
207,D4,D52,27844.04157312802,northern
208,D5,D1,35773.218365865316,eastern
209,D5,D2,0.0,northern
210,D5,D3,63918.93249150945,southeastern
211,D5,D4,7961.900729078403,southeastern
212,D5,D5,0.0,western
213,D5,D6,46783.21333449945,southern
214,D5,D7,18447.954797594197,southeastern
215,D5,D8,33645.29816417884,southern
216,D5,D9,27470.648005890813,eastern
217,D5,D10,9923.833657406823,eastern
218,D5,D11,0.0,southeastern
219,D5,D12,0.0,eastern
220,D5,D13,99793.88775134254,eastern
221,D5,D14,114250.98570654007,northeastern
222,D5,D15,77579.93210671216,eastern
223,D5,D16,88694.83611867792,southern
224,D5,D17,108098.29745915077,eastern
225,D5,D18,100057.87332120855,northeastern
226,D5,D19,69967.41442917075,eastern
227,D5,D20,47009.427461349864,southern
228,D5,D21,42282.27703243435,southwestern
229,D5,D22,82973.18585686357,southwestern
230,D5,D23,71113.74026921389,southern
231,D5,D24,60128.247749198585,western
232,D5,D25,52391.815251899854,southern
233,D5,D26,62743.69247862199,southwestern
234,D5,D27,18821.93951115798,southeastern
235,D5,D28,27745.199749312207,southern
236,D5,D29,35680.09782308064,southwestern
237,D5,D30,72486.21562985264,southwestern
238,D5,D31,20430.81775025466,southern
239,D5,D32,21439.5790782794,southwestern
240,D5,D33,10425.023986803599,southern
241,D5,D34,30600.306610363135,western
242,D5,D35,40604.621819217595,western
243,D5,D36,12084.933931484278,western
244,D5,D37,39783.11097649702,western
245,D5,D38,0.0,western
246,D5,D39,20701.01944504489,western
247,D5,D40,47343.52816151534,western
248,D5,D41,21953.99792152112,southwestern
249,D5,D42,3977.9651474060897,southwestern
250,D5,D43,10628.713480021044,western
251,D5,D44,29547.938153800995,southwestern
252,D5,D45,19370.246406432252,western
253,D5,D46,8512.012106528082,western
254,D5,D47,0.0,northwestern
255,D5,D48,29760.244490871868,northwestern
256,D5,D49,0.0,northern
257,D5,D50,52982.402762488426,northeastern
258,D5,D51,39917.72244949107,northeastern
259,D5,D52,16653.26090860341,northern
260,D6,D1,0.0,northern
261,D6,D2,55041.732215438955,northern
262,D6,D3,0.0,northern
263,D6,D4,21879.251738972212,northern
264,D6,D5,46783.21333449945,northern
265,D6,D6,0.0,western
266,D6,D7,0.0,northern
267,D6,D8,19783.36489217634,northeastern
268,D6,D9,38462.803620610306,northern
269,D6,D10,27176.19115570789,northern
270,D6,D11,23187.632568628505,northern
271,D6,D12,34983.38177550164,northern
272,D6,D13,77588.62573123058,northern
273,D6,D14,112263.45925917046,northern
274,D6,D15,39131.89249788086,northern
275,D6,D16,79648.29677569612,northeastern
276,D6,D17,63377.44357212101,northern
277,D6,D18,97910.30233563764,northern
278,D6,D19,55690.62629904109,northern
279,D6,D20,53149.93496400931,western
280,D6,D21,41143.71149655796,northern
281,D6,D22,98892.58648966417,northern
282,D6,D23,46191.423024726806,southwestern
283,D6,D24,85817.26791727875,northern
284,D6,D25,15231.544559020715,northern
285,D6,D26,73638.90996607553,northern
286,D6,D27,0.0,northern
287,D6,D28,23578.168357509036,northern
288,D6,D29,41044.426891592695,northern
289,D6,D30,64123.04912063113,northern
290,D6,D31,29962.607691344852,northern
291,D6,D32,55005.59076675571,northern
292,D6,D33,32275.177218179488,northern
293,D6,D34,75852.58462568911,northern
294,D6,D35,91910.12307675988,northern
295,D6,D36,71800.12467468827,northern
296,D6,D37,78089.14146224869,northern
297,D6,D38,53396.228982671026,northern
298,D6,D39,81694.52347114871,northern
299,D6,D40,82131.41942076053,northern
300,D6,D41,37647.9114354397,northern
301,D6,D42,46325.96013371393,northern
302,D6,D43,64001.07694144999,northern
303,D6,D44,57522.10052560146,northern
304,D6,D45,68734.16212362835,northern
305,D6,D46,69206.85563428365,northern
306,D6,D47,59751.30882549617,northern
307,D6,D48,83666.92228094899,northern
308,D6,D49,51366.63777952349,northern
309,D6,D50,89341.15949978892,northern
310,D6,D51,70585.47480497825,northern
311,D6,D52,55113.81730615494,northern
312,D7,D1,0.0,eastern
313,D7,D2,24008.93324466888,northwestern
314,D7,D3,10493.79551528073,southeastern
315,D7,D4,0.0,western
316,D7,D5,18447.954797594197,northwestern
317,D7,D6,0.0,southern
318,D7,D7,0.0,western
319,D7,D8,0.0,southern
320,D7,D9,11100.418553809026,northern
321,D7,D10,0.0,northern
322,D7,D11,0.0,western
323,D7,D12,2604.612932653796,northwestern
324,D7,D13,72765.59389305649,northeastern
325,D7,D14,97209.65638372088,northeastern
326,D7,D15,42901.22038628867,eastern
327,D7,D16,65671.91522648981,southern
328,D7,D17,71013.76921848599,eastern
329,D7,D18,80518.40878235559,northeastern
330,D7,D19,42981.88986008328,northeastern
331,D7,D20,44354.840689068275,southern
332,D7,D21,30265.51697975527,southwestern
333,D7,D22,84872.23835777878,western
334,D7,D23,44873.129456976225,southern
335,D7,D24,67638.48865342513,western
336,D7,D25,17763.961947584066,southwestern
337,D7,D26,62718.356114625014,western
338,D7,D27,0.0,southwestern
339,D7,D28,11468.02383216909,southwestern
340,D7,D29,25024.46094640277,western
341,D7,D30,56858.67475502794,southwestern
342,D7,D31,7630.694703186941,western
343,D7,D32,34199.85858954895,western
344,D7,D33,8218.761406945005,western
345,D7,D34,51968.360472383385,western
346,D7,D35,67685.59472395427,western
347,D7,D36,46573.084119900974,western
348,D7,D37,55575.15183286041,western
349,D7,D38,28118.57679220168,western
350,D7,D39,53593.015508997785,western
351,D7,D40,61846.72722029561,western
352,D7,D41,18238.936405091077,western
353,D7,D42,21362.08202197694,western
354,D7,D43,39122.20822274297,western
355,D7,D44,38660.5516312835,western
356,D7,D45,44403.85388879083,western
357,D7,D46,43673.35327294449,western
358,D7,D47,32605.905335445263,northwestern
359,D7,D48,51311.7128690895,northwestern
360,D7,D49,19508.7452453429,northwestern
361,D7,D50,59691.15156357227,northern
362,D7,D51,41165.952595928575,northern
363,D7,D52,25595.751910228664,northwestern
364,D8,D1,0.0,northern
365,D8,D2,37027.53064416468,northern
366,D8,D3,28566.782103859212,northern
367,D8,D4,19971.717887026472,northern
368,D8,D5,33645.29816417884,northern
369,D8,D6,19783.36489217634,southwestern
370,D8,D7,0.0,northern
371,D8,D8,0.0,western
372,D8,D9,0.0,northern
373,D8,D10,0.0,northern
374,D8,D11,26212.352831622095,northern
375,D8,D12,13505.167675778228,northern
376,D8,D13,21507.020408928063,northern
377,D8,D14,53442.09928575093,northern
378,D8,D15,0.0,northern
379,D8,D16,21433.577245381985,northeastern
380,D8,D17,23947.596742382117,northern
381,D8,D18,39267.67770309557,northern
382,D8,D19,0.0,northern
383,D8,D20,85535.1739384632,southwestern
384,D8,D21,73732.0197096657,northern
385,D8,D22,125736.62570947906,northern
386,D8,D23,91534.75510316103,southwestern
387,D8,D24,105877.86665047178,northern
388,D8,D25,63808.70787657751,northern
389,D8,D26,106265.0218908241,northern
390,D8,D27,39577.87851412781,northern
391,D8,D28,53721.21126395869,northern
392,D8,D29,67783.44870011276,northern
393,D8,D30,102149.83502455988,northern
394,D8,D31,48053.40963801098,northern
395,D8,D32,66542.47623108972,northern
396,D8,D33,43703.828120990875,northern
397,D8,D34,80263.60697425107,northern
398,D8,D35,91302.49797245278,northern
399,D8,D36,62563.713294134024,northern
400,D8,D37,88092.77815536199,northern
401,D8,D38,48980.576471357715,northern
402,D8,D39,63130.50015105196,northern
403,D8,D40,95817.43450648639,northern
404,D8,D41,58810.469971089246,northern
405,D8,D42,48799.4136148699,northern
406,D8,D43,61029.747700163105,northern
407,D8,D44,77066.54096092189,northern
408,D8,D45,69938.63160547824,northern
409,D8,D46,57637.42023427934,northern
410,D8,D47,47166.42530228579,northern
411,D8,D48,52590.53945343602,northern
412,D8,D49,25699.600637620766,northern
413,D8,D50,39182.281267119986,northern
414,D8,D51,24280.725840613264,northern
415,D8,D52,14751.495736444806,northern
416,D9,D1,10970.684366208787,southeastern
417,D9,D2,28372.99145493174,western
418,D9,D3,59078.902262067815,southeastern
419,D9,D4,24984.924944841106,southwestern
420,D9,D5,27470.648005890813,western
421,D9,D6,38462.803620610306,southern
422,D9,D7,11100.418553809026,southern
423,D9,D8,0.0,southern
424,D9,D9,0.0,western
425,D9,D10,0.0,southwestern
426,D9,D11,25142.795414880926,southwestern
427,D9,D12,7547.531960430746,southwestern
428,D9,D13,50547.26304226461,eastern
429,D9,D14,71848.79591127664,northeastern
430,D9,D15,28458.131520467992,eastern
431,D9,D16,41478.331885994514,southern
432,D9,D17,64811.87688016796,eastern
433,D9,D18,55469.16214306356,northeastern
